[2024-06-14 16:39:16.037]	 Done.

[2024-06-19 20:22:19.084]	 List of discovered tpm plugins: 
[2024-06-19 20:22:19.106]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-19 20:22:19.161]	 Already installed "vim-tmux-navigator"
[2024-06-19 20:22:19.166]	 Already installed "tmux-resurrect"
[2024-06-19 20:22:19.202]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-19 20:22:19.246]	 Updating all plugins!
[2024-06-19 20:22:19.246]	 
[2024-06-19 20:22:21.087]	   "vim-tmux-navigator" update success
[2024-06-19 20:22:21.109]	     | Already up to date.
[2024-06-19 20:22:21.199]	   "tmux-resurrect" update success
[2024-06-19 20:22:21.234]	     | Already up to date.
[2024-06-19 20:22:21.339]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-19 20:22:21.867]	 Done.

[2024-06-24 08:20:09.679]	 List of discovered tpm plugins: 
[2024-06-24 08:20:09.697]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-24 08:20:09.748]	 Already installed "vim-tmux-navigator"
[2024-06-24 08:20:09.749]	 Already installed "tmux-resurrect"
[2024-06-24 08:20:09.770]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-24 08:20:09.796]	 Updating all plugins!
[2024-06-24 08:20:09.796]	 
[2024-06-24 08:20:10.989]	   "vim-tmux-navigator" update success
[2024-06-24 08:20:10.998]	     | Already up to date.
[2024-06-24 08:20:11.031]	   "tmux-resurrect" update success
[2024-06-24 08:20:11.034]	     | Already up to date.
[2024-06-24 08:20:11.054]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-24 08:20:11.115]	 Done.

[2024-06-24 08:28:12.102]	 List of discovered tpm plugins: 
[2024-06-24 08:28:12.128]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-24 08:28:12.200]	 Already installed "vim-tmux-navigator"
[2024-06-24 08:28:12.203]	 Already installed "tmux-resurrect"
[2024-06-24 08:28:12.233]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-24 08:28:12.264]	 Updating all plugins!
[2024-06-24 08:28:12.264]	 
[2024-06-24 08:28:14.234]	   "vim-tmux-navigator" update success
[2024-06-24 08:28:14.254]	     | Already up to date.
[2024-06-24 08:28:14.366]	   "tmux-resurrect" update success
[2024-06-24 08:28:14.380]	     | Already up to date.
[2024-06-24 08:28:14.433]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-24 08:28:14.791]	 Done.

[2024-06-30 08:04:17.071]	 List of discovered tpm plugins: 
[2024-06-30 08:04:17.088]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-30 08:04:17.128]	 Already installed "vim-tmux-navigator"
[2024-06-30 08:04:17.129]	 Already installed "tmux-resurrect"
[2024-06-30 08:04:17.148]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-30 08:04:17.172]	 Updating all plugins!
[2024-06-30 08:04:17.172]	 
[2024-06-30 08:04:18.269]	   "vim-tmux-navigator" update success
[2024-06-30 08:04:18.272]	     | Already up to date.
[2024-06-30 08:04:18.340]	   "tmux-resurrect" update success
[2024-06-30 08:04:18.343]	     | Already up to date.
[2024-06-30 08:04:18.361]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-30 08:04:18.416]	 Done.

[2024-06-30 08:05:32.572]	 List of discovered tpm plugins: 
[2024-06-30 08:05:32.592]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-30 08:05:32.635]	 Already installed "vim-tmux-navigator"
[2024-06-30 08:05:32.635]	 Already installed "tmux-resurrect"
[2024-06-30 08:05:32.653]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-30 08:05:32.676]	 Updating all plugins!
[2024-06-30 08:05:32.676]	 
[2024-06-30 08:05:33.673]	   "vim-tmux-navigator" update success
[2024-06-30 08:05:33.676]	     | Already up to date.
[2024-06-30 08:05:33.696]	   "tmux-resurrect" update success
[2024-06-30 08:05:33.698]	     | Already up to date.
